check11,[check11] Avoid the use of the root account - iam [High]
check110,[check110] Ensure IAM password policy prevents password reuse: 24 or greater - iam [Medium]
check111,[check111] Ensure IAM password policy expires passwords within 90 days or less - iam [Medium]
check112,[check112] Ensure no root account access key exists - iam [Critical]
check113,[check113] Ensure MFA is enabled for the root account - iam [Critical]
check114,[check114] Ensure hardware MFA is enabled for the root account - iam [Critical]
check115,[check115] Ensure security questions are registered in the AWS account - support [Medium]
check116,[check116] Ensure IAM policies are attached only to groups or roles - iam [Low]
check117,[check117] Maintain current contact details - support [Medium]
check118,[check118] Ensure security contact information is registered - support [Medium]
check119,[check119] Ensure IAM instance roles are used for AWS resource access from instances - ec2 [Medium]
check12,[check12] Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password - iam [High]
check120,[check120] Ensure a support role has been created to manage incidents with AWS Support - iam [Medium]
check121,[check121] Do not setup access keys during initial user setup for all IAM users that have a console password - iam [Medium]
check122,[check122] Ensure IAM policies that allow full "*:*" administrative privileges are not created - iam [Medium]
check13,[check13] Ensure credentials unused for 90 days or greater are disabled - iam [Medium]
check14,[check14] Ensure access keys are rotated every 90 days or less - iam [Medium]
check15,[check15] Ensure IAM password policy requires at least one uppercase letter - iam [Medium]
check16,[check16] Ensure IAM password policy require at least one lowercase letter - iam [Medium]
check17,[check17] Ensure IAM password policy require at least one symbol - iam [Medium]
check18,[check18] Ensure IAM password policy require at least one number - iam [Medium]
check19,[check19] Ensure IAM password policy requires minimum length of 14 or greater - iam [Medium]
check21,[check21] Ensure CloudTrail is enabled in all regions - cloudtrail [High]
check22,[check22] Ensure CloudTrail log file validation is enabled - cloudtrail [Medium]
check23,[check23] Ensure the S3 bucket CloudTrail logs to is not publicly accessible - cloudtrail [Critical]
check24,[check24] Ensure CloudTrail trails are integrated with CloudWatch Logs - cloudtrail [Low]
check25,[check25] Ensure AWS Config is enabled in all regions - configservice [Medium]
check26,[check26] Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket - s3 [Medium]
check27,[check27] Ensure CloudTrail logs are encrypted at rest using KMS CMKs - cloudtrail [Medium]
check28,[check28] Ensure rotation for customer created KMS CMKs is enabled - kms [Medium]
check29,[check29] Ensure VPC Flow Logging is Enabled in all VPCs - vpc [Medium]
check31,[check31] Ensure a log metric filter and alarm exist for unauthorized API calls - iam [Medium]
check310,[check310] Ensure a log metric filter and alarm exist for security group changes - ec2 [Medium]
check311,[check311] Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL) - vpc [Medium]
check312,[check312] Ensure a log metric filter and alarm exist for changes to network gateways - vpc [Medium]
check313,[check313] Ensure a log metric filter and alarm exist for route table changes - vpc [Medium]
check314,[check314] Ensure a log metric filter and alarm exist for VPC changes - vpc [Medium]
check32,[check32] Ensure a log metric filter and alarm exist for Management Console sign-in without MFA - iam [Medium]
check33,[check33] Ensure a log metric filter and alarm exist for usage of root account - iam [Medium]
check34,[check34] Ensure a log metric filter and alarm exist for IAM policy changes - iam [Medium]
check35,[check35] Ensure a log metric filter and alarm exist for CloudTrail configuration changes - cloudtrail [Medium]
check36,[check36] Ensure a log metric filter and alarm exist for AWS Management Console authentication failures - iam [Medium]
check37,[check37] Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created KMS CMKs - kms [Medium]
